,Unnamed: 0,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction,firstIntentionConsistFinalGoal
0,0,maxModel13,4,3,4,11,11,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(11, 7), [11, 8], [10, 8], [9, 8], [8, 8], [8, 9], [8, 10], [8, 11], [8, 10], [7, 10], [7, 11], [7, 12], [6, 12], [6, 11], [5, 11], [4, 11]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, -1), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, -1), (-1, 0), (-1, 0)]","[11, 8]","[2, 0, 0, 0, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0]",2,8,7,270,1
1,1,maxModel13,3,5,3,9,11,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(11, 7), [11, 8], [11, 9], [10, 9], [9, 9], [8, 9], [7, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[7],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,8,270,1
2,2,maxModel13,3,9,11,9,7,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 1), [7, 2], [6, 2], [5, 2], [4, 2], [4, 3], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0,8,8,180,1
3,3,maxModel13,5,14,9,14,7,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [7, 8], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [5, 14]]","[(0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[2],"[0, 2, 0, 0, 0, 0, 0, 1, 0]",1,4,7,180,0
4,4,maxModel13,6,3,6,11,0,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(0, 7), [1, 7], [1, 6], [1, 5], [2, 5], [2, 4], [3, 4], [3, 3], [4, 3], [5, 3], [6, 3]]","[(1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0)]",[],"[0, 1, 1, 0, 1, 0, 1, 0, 0, 0]",0,8,6,90,1
5,5,maxModel13,4,8,10,8,7,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 14), [6, 14], [6, 13], [6, 14], [5, 14], [4, 14], [4, 13], [4, 12], [4, 11], [4, 10], [4, 9], [4, 8]]","[(-1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[1, 3]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,6,6,0,1
6,6,maxModel13,7,4,7,10,14,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(14, 7), [14, 6], [14, 5], [13, 5], [13, 4], [12, 4], [13, 4], [13, 3], [13, 4], [12, 4], [11, 4], [10, 4], [9, 4], [8, 4], [7, 4]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[7, 6]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,7,270,1
7,7,maxModel13,5,13,9,13,7,7,"[0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [8, 7], [9, 7], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 2, 0, 0, 0, 0, 0, 0]",0,4,6,180,1
8,8,maxModel13,12,4,12,10,4,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(4, 7), [4, 8], [4, 9], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [10, 10], [11, 10], [10, 10], [11, 10], [12, 10]]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0)]",[11],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,6,8,90,1
9,9,maxModel13,3,3,11,3,7,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 11), [7, 10], [7, 9], [8, 9], [9, 9], [10, 9], [10, 8], [11, 8], [11, 7], [11, 6], [11, 5], [11, 4], [11, 3]]","[(0, -1), (0, -1), (-1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[3],"[0, 0, 1, 2, 2, 0, 2, 0, 0, 0, 0, 0]",special,8,8,0,0
0,0,maxModel39,0,4,0,10,8,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(8, 7), [8, 8], [7, 8], [7, 9], [6, 9], [6, 10], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [0, 10]]","[(0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[2, 4]","[2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]",2,6,8,270,1
1,1,maxModel39,3,14,11,14,7,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 6), [6, 6], [5, 6], [5, 7], [4, 7], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [3, 12], [3, 13], [3, 14]]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0,8,8,180,1
2,2,maxModel39,5,5,5,9,11,7,"[0, 0, 0, 0, 0, 0, 0, 0]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [7, 8], [6, 8], [6, 9], [5, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[2],"[0, 2, 0, 0, 2, 0, 2, 0]",1,4,6,270,1
3,3,maxModel39,6,5,6,9,13,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(13, 7), [13, 8], [13, 9], [12, 9], [11, 9], [10, 9], [9, 9], [8, 9], [7, 9], [7, 8], [7, 9], [6, 9]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0)]",[9],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]",1,4,7,270,1
4,4,maxModel39,3,6,11,6,7,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 13), [7, 12], [7, 11], [8, 11], [9, 11], [9, 10], [9, 9], [9, 8], [10, 8], [11, 8], [12, 8], [12, 7], [12, 6], [11, 6]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (-1, 0)]",[10],"[0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0]",1,8,7,0,1
5,5,maxModel39,3,9,11,9,7,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 3), [7, 4], [6, 4], [5, 4], [4, 4], [3, 4], [3, 5], [2, 5], [2, 6], [3, 6], [3, 7], [3, 8], [3, 9]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[7],"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,8,6,180,1
6,6,maxModel39,4,11,10,11,7,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 4), [6, 4], [6, 5], [5, 5], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0,6,7,180,1
7,7,maxModel39,5,13,9,13,7,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 5), [6, 5], [5, 5], [6, 5], [6, 6], [7, 6], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [5, 11], [5, 12], [5, 13]]","[(-1, 0), (-1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1)]","[3, 5]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",2,4,8,180,1
8,8,maxModel39,4,7,10,7,7,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 13), [8, 13], [9, 13], [10, 13], [10, 12], [11, 12], [11, 11], [10, 11], [10, 10], [10, 9], [10, 8], [10, 7]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[5],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",1,6,6,0,1
9,9,maxModel39,1,4,1,10,7,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [7, 8], [7, 9], [7, 10], [6, 10], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10]]","[(0, -1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[1],"[1, 2, 2, 0, 0, 0, 0, 0, 0]",special,6,6,270,0
0,0,maxModel11,8,3,8,11,2,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(2, 7), [2, 6], [2, 5], [2, 4], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0,8,6,90,1
1,1,maxModel11,5,14,9,14,7,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [8, 7], [8, 8], [7, 8], [8, 8], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13], [9, 14]]","[(1, 0), (0, 1), (-1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[4, 3]","[2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",2,4,7,180,1
2,2,maxModel11,3,8,11,8,7,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 1), [8, 1], [8, 2], [9, 2], [10, 2], [11, 2], [11, 3], [11, 4], [11, 5], [12, 5], [11, 5], [11, 6], [11, 7], [11, 8]]","[(1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]",[9],"[2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",1,8,7,180,1
3,3,maxModel11,4,12,10,12,7,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 5), [7, 6], [7, 7], [7, 8], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [10, 9], [10, 10], [10, 11], [10, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[8, 2]","[0, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0]",2,6,7,180,1
4,4,maxModel11,5,4,5,10,11,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(11, 7), [11, 6], [10, 6], [10, 5], [10, 4], [9, 4], [8, 4], [8, 3], [7, 3], [7, 4], [6, 4], [5, 4]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, 1), (-1, 0), (-1, 0)]",[7],"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,6,6,270,1
5,5,maxModel11,5,7,9,7,7,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[(7, 1), [7, 2], [8, 2], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7]]","[(0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 2, 2, 0, 0, 0, 0, 0]",0,4,6,180,1
6,6,maxModel11,4,4,10,4,7,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 12), [8, 12], [8, 11], [9, 11], [9, 10], [9, 11], [10, 11], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [10, 4]]","[(1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[5],"[2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",1,6,8,0,1
7,7,maxModel11,13,5,13,9,5,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(5, 7), [6, 7], [6, 6], [7, 6], [7, 5], [7, 6], [8, 6], [9, 6], [9, 5], [10, 5], [11, 5], [12, 5], [13, 5]]","[(1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[5],"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1,4,8,90,1
8,8,maxModel11,6,3,6,11,14,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(14, 7), [14, 8], [13, 8], [13, 9], [12, 9], [11, 9], [10, 9], [9, 9], [9, 10], [8, 10], [9, 10], [9, 11], [8, 11], [7, 11], [6, 11]]","[(0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0)]",[10],"[2, 0, 2, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0]",1,8,8,270,1
9,9,maxModel11,4,2,10,2,7,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 10), [6, 10], [6, 9], [5, 9], [5, 8], [4, 8], [4, 7], [4, 6], [4, 5], [4, 4], [4, 3], [4, 2]]","[(1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[1],"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",special,6,8,0,0
0,0,maxModel10,3,5,11,5,7,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 13), [8, 13], [8, 12], [9, 12], [9, 11], [10, 11], [10, 10], [10, 9], [10, 8], [10, 7], [11, 7], [11, 6], [11, 5]]","[(1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1)]",[],"[2, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0]",0,8,8,0,1
1,1,maxModel10,4,3,10,3,7,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 9), [7, 10], [8, 10], [8, 11], [8, 10], [9, 10], [9, 9], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [10, 4], [10, 3]]","[(0, 1), (1, 0), (0, 1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1)]","[1, 3]","[0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]",2,6,6,0,1
2,2,maxModel10,6,4,6,10,14,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(14, 7), [14, 8], [14, 9], [13, 9], [12, 9], [11, 9], [11, 8], [10, 8], [9, 8], [9, 9], [8, 9], [8, 10], [7, 10], [6, 10]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0)]",[6],"[2, 2, 0, 0, 0, 2, 0, 0, 2, 0, 2, 0, 0]",1,6,8,270,1
3,3,maxModel10,6,5,6,9,14,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(14, 7), [13, 7], [13, 8], [12, 8], [13, 8], [12, 8], [11, 8], [10, 8], [9, 8], [8, 8], [8, 9], [7, 9], [6, 9]]","[(-1, 0), (0, 1), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0)]","[8, 4]","[0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0]",2,4,8,270,1
4,4,maxModel10,0,4,0,10,7,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [6, 7], [5, 7], [5, 8], [4, 8], [3, 8], [3, 9], [2, 9], [2, 10], [1, 10], [2, 10], [1, 10], [0, 10]]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (1, 0), (-1, 0), (-1, 0)]",[10],"[0, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0]",1,6,7,270,1
5,5,maxModel10,5,5,5,9,11,7,"[0, 0, 0, 0, 0, 0, 0, 0]","[(11, 7), [10, 7], [10, 6], [9, 6], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 1, 0, 1, 0, 0, 0, 0]",0,4,6,270,1
6,6,maxModel10,0,5,0,9,7,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [3, 5], [2, 5], [1, 5], [0, 5]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[2],"[1, 1, 0, 0, 0, 1, 0, 0, 0]",1,4,7,270,1
7,7,maxModel10,12,3,12,11,5,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(5, 7), [6, 7], [6, 6], [7, 6], [8, 6], [8, 5], [8, 4], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3]]","[(1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]",0,8,7,90,1
8,8,maxModel10,3,3,11,3,7,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 9), [6, 9], [6, 8], [5, 8], [5, 7], [5, 6], [5, 5], [5, 6], [5, 5], [4, 5], [3, 5], [3, 4], [3, 3]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[5, 7]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]",2,8,6,0,1
9,9,maxModel10,7,5,7,9,1,7,"[0, 0, 0, 0, 0, 0, 0, 0]","[(1, 7), [2, 7], [2, 8], [2, 9], [3, 9], [4, 9], [5, 9], [6, 9], [7, 9]]","[(1, 0), (0, -1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[2],"[0, 1, 2, 0, 0, 0, 0, 0]",special,4,6,90,0
0,0,maxModel38,5,2,9,2,7,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 9), [7, 8], [6, 8], [5, 8], [5, 7], [5, 6], [5, 5], [5, 4], [5, 3], [5, 2]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 1, 1, 0, 0, 0, 0, 0, 0]",0,4,7,0,1
1,1,maxModel38,10,5,10,9,4,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(4, 7), [4, 6], [5, 6], [5, 5], [6, 5], [5, 5], [6, 5], [7, 5], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5]]","[(0, -1), (1, 0), (0, -1), (1, 0), (-1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[8, 5]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,6,90,1
2,2,maxModel38,3,4,3,10,11,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(11, 7), [11, 6], [10, 6], [9, 6], [9, 5], [8, 5], [8, 4], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [3, 4]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[7],"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,6,8,270,1
